S.No,Date,Type,Strike,Entry Time,Entry Spot,Entry Prem,Spot SL,Prem TP,Exit Time,Exit Prem,Reason,Points,PnL (₹)
1,2025-12-01,SHORT,59800,11:54,59839.7,619.1,59993.7,749.6,14:30,662.3,"Square-off",43.2,1256
2,2025-12-02,LONG,59500,10:00,59498.6,860.7,59434.1,917.3,10:34,916.8,"Target",56.1,1643
3,2025-12-02,LONG,59600,12:43,59551.6,863.5,59485.7,927.9,13:00,823.1,"Stop Loss",-40.4,-1252
4,2025-12-04,SHORT,59400,11:20,59410.3,503.9,59481.5,570.4,11:42,537.5,"Target",33.6,968
5,2025-12-04,LONG,59300,12:35,59263.7,845.8,59206.8,901.7,12:45,761.2,"Stop Loss",-84.6,-2578
6,2025-12-05,LONG,59600,10:55,59551.1,805.1,59449.8,890.1,12:37,877.9,"Target",72.8,2144
7,2025-12-08,SHORT,59300,12:38,59308.6,475.7,59366.2,533.9,13:28,517.6,"Target",42.0,1219
8,2025-12-09,LONG,59100,10:15,59050.5,811.4,58907.4,930.3,12:08,902.0,"Target",90.5,2677
9,2025-12-10,SHORT,59200,11:05,59194.3,473.0,59295.3,559.2,11:35,558.7,"Target",85.7,2531
10,2025-12-11,SHORT,58900,09:49,58921.3,450.1,59107.3,604.5,10:15,335.7,"Stop Loss",-114.3,-3471
11,2025-12-11,LONG,59200,11:27,59178.1,716.6,59136.4,762.9,11:57,731.8,"Target",15.2,415
12,2025-12-15,LONG,59300,10:57,59259.1,587.8,59148.2,685.9,11:52,685.4,"Target",97.7,2890
13,2025-12-15,LONG,59500,12:05,59451.1,600.6,59371.8,673.5,14:30,587.0,"Square-off",-13.6,-448
14,2025-12-16,SHORT,59100,10:05,59099.4,395.1,59152.9,450.3,10:26,358.3,"Stop Loss",-36.9,-1146
15,2025-12-16,SHORT,59000,11:47,59031.3,369.5,59102.3,437.7,12:04,343.1,"Stop Loss",-26.4,-831
16,2025-12-17,LONG,59000,11:20,58969.8,556.6,58942.3,591.8,11:23,533.5,"Stop Loss",-23.1,-733
